昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,主要食草6,主要食草科6,観察タイプ6,利用部位6,利用ステージ6,出典6,食草備考6,主要食草7,主要食草科7,観察タイプ7,利用部位7,利用ステージ7,出典7,食草備考7,主要食草8,主要食草科8,観察タイプ8,利用部位8,利用ステージ8,出典8,食草備考8,主要食草9,主要食草科9,観察タイプ9,利用部位9,利用ステージ9,出典9,食草備考9,主要食草10,主要食草科10,観察タイプ10,利用部位10,利用ステージ10,出典10,食草備考10,発生時期1,発生時期出典1,発生地域1,発生時期備考1,発生時期2,発生時期出典2,発生地域2,発生時期備考2,幼虫期1,幼虫期出典1,幼虫期備考1,追加食草有無,データソース,総合備考,亜族和名
M4614,蛾類,3075,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Stauropus,,teikichiana,,Matsumura,1929,,テイキチシャチホコ,テイキチシャチホコ,,,,,,"Stauropus teikichiana (Matsumura, 1929)",クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4615,蛾類,3078,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Palaeostauropus,,obliteratus,,(Wileman & South),1917,,ゴマダラシャチホコ,,,,,,,"Palaeostauropus obliteratus (Wileman & South, 1917)",モミ,マツ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4616,蛾類,3076,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Chlorostauropus,,alternus,,(Walker),1855,,ナントシャチホコ,ナントシャチホコ,,,,,,"Stauropus alternus (Walker, 1855)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,広食性; 国外ではバラ科; マメ科; ミカン科; ツバキ科。台湾ではリュウガン; レイシ (ムクロジ科); チャノキ(ツバキ科)の害虫,
M4617,蛾類,3086,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,pallidifascia,,(Hampson),[1893],,イリオモテアオシャチホコ,イリオモテアオシャチホコ,,,,,,"Vaneeckeia pallidifascia (Hampson, 1893)",ヒメツバキ),ツバキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4618,蛾類,3082,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,cyanea,,(Leech),[1889],,オオアオシャチホコ,オオアオシャチホコ,,,,,,"Syntypistis cyanea (Leech, 1889)",エゴノキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ハクウンボク,エゴノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4619,蛾類,3083,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,punctatella,,(Motschulsky),[1861],,ブナアオシャチホコ,,,,,,,"Syntypistis punctatella (Motschulsky, 1861)",ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,イヌブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4620,蛾類,3079,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,pryeri,,(Leech),1899,,プライヤアオシャチホコ,,,,,,,"Syntypistis pryeri (Leech, 1899)",クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ウバメガシ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4621,蛾類,3080,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,japonica,,(Nakatomi),1981,,アオシャチホコ,,,,,,,"Syntypistis japonica (Nakatomi, 1981)",エゴノキ,エゴノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4622,蛾類,3081,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,subgeneris,,(Strand),1915,,ホリシャシャチホコ,,,,,,,"Syntypistis subgeneris (Strand, 1915)",エゴノキ,エゴノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4623,蛾類,3085,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,amamiensis,,(Nakatomi),1981,,アマミアオシャチホコ,,,,,,,"Syntypistis amamiensis (Nakatomi, 1981)",イスノキ,マンサク科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4624,蛾類,3084,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,nachiensis,,(Marumo),1920,,ナチアオシャチホコ,,,,,,,"Syntypistis nachiensis (Marumo, 1920)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4625,蛾類,3084,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Stauropini,シャチホコガ族,,,Syntypistis,,kimurai,,Kobayashi,2021,,ヤエヤマアオシャチホコ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4626,蛾類,3095,Notodontidae,シャチホコガ科,Notodontinae,ウチキシャチホコ亜科,Dicranurini,モクメシャチホコ族,,,Harpyia,,umbrosa,,(Staudinger),1892,,ギンシャチホコ,ギンシャチホコ,,,,,,"Harpyia umbrosa (Staudinger, 1892)",ミズナラ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,コナラ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
