昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,主要食草6,主要食草科6,観察タイプ6,利用部位6,利用ステージ6,出典6,食草備考6,主要食草7,主要食草科7,観察タイプ7,利用部位7,利用ステージ7,出典7,食草備考7,主要食草8,主要食草科8,観察タイプ8,利用部位8,利用ステージ8,出典8,食草備考8,主要食草9,主要食草科9,観察タイプ9,利用部位9,利用ステージ9,出典9,食草備考9,主要食草10,主要食草科10,観察タイプ10,利用部位10,利用ステージ10,出典10,食草備考10,発生時期1,発生時期出典1,発生地域1,発生時期備考1,発生時期2,発生時期出典2,発生地域2,発生時期備考2,幼虫期1,幼虫期出典1,幼虫期備考1,追加食草有無,データソース,総合備考,亜族和名
M0001,蛾類,1,Micropterigidae,コバネガ科,,,,,,,Micropterix,,aureatella,,(Scopoli),1763,,モンフタオビコバネ,,,,,,,"Micropterix aureatella (Scopoli, 1763)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0002,蛾類,3,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,immaculatella,,Issiki,1931,,ムモンコバネ,,,,,,,"Paramartyria immaculatella Issiki, 1931",マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0003,蛾類,2,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,semifasciella,,Issiki,1931,,マエモンコバネ,,,,,,,"Paramartyria semifasciella Issiki, 1931",マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,オオウロコゴケ,ウロコゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0004,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,hyperborea,,Imada & Kato,2018,,ツガルイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0005,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,leptobelos,,Imada & Kato,2018,,シラカミイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0006,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,catapasta,,Imada & Kato,2018,,アニイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0007,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,trochos,,Imada & Kato,2018,,ワガイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0008,蛾類,9,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,nudata,,(Issiki),1953,,シロウマズアカヒロコバネ,シロウマズアカヒロコバネ（和名改称）,シロウマヒロコバネ,,,,,"Issikiomartyria nudata (Issiki, 1953)",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0009,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,akemiae,,Hashimoto,2006,,ヒメズアカヒロコバネ,ヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria akemiae Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0010,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,plicata,,Hashimoto,2006,,ニセヒメズアカヒロコバネ,ニセヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria plicata Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0011,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,distincta,,Hashimoto,2006,,エチゴズアカヒロコバネ,エチゴズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria distincta Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0012,蛾類,,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,bisegmentata,,Hashimoto,2006,,フタフシズアカヒロコバネ,フタフシズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria bisegmentata Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0013,蛾類,,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,coruscans,,Imada & Kato,2018,,トオヤマタカネコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0014,蛾類,,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,bilobata,,Imada & Kato,2018,,イカワタカネコバネ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0015,蛾類,,Micropterigidae,コバネガ科,,,,,,,Kurokopteryx,,dolichocerata,,Hashimoto,2006,,ホソクロズコバネ,,,,,,,"Kurokopteryx dolichocerata Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0016,蛾類,4,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,nipponensis,,Issiki,1931,,ニッポンヒロコバネ,,,,,,,"Neomicropteryx nipponensis Issiki, 1931",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0017,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kiwana,,Hashimoto,2006,,キイヒロコバネ,キィヒロコバネ; キィヒロコバネ（和名新称）,,,,,,"Neomicropteryx kiwana Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0018,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,redacta,,Hashimoto,2006,,オワセヒロコバネ,オワセヒロコバネ（和名新称）,,,,,,"Neomicropteryx redacta Hashimoto, 2006",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0019,蛾類,5,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,matsumurana,,Issiki,1931,,マツムラヒロコバネ,,,,,,,"Neomicropteryx matsumurana Issiki, 1931",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0020,蛾類,6,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,bifurca,,Issiki,1953,,サンダンキョウヒロコバネ,,,,,,,"Neomicropteryx bifurca Issiki, 1953",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0021,蛾類,8,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,cornuta,,Issiki,1953,,イシヅチヒロコバネ,,,,,,,"Neomicropteryx cornuta Issiki, 1953",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0022,蛾類,7,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,elongata,,Issiki,1953,,ツルギヒロコバネ,,,,,,,"Neomicropteryx elongata Issiki, 1953",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0023,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kazusana,,Hashimoto,1992,,カズサヒロコバネ,,,,,,,"Neomicropteryx kazusana Hashimoto, 1992",ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0024,蛾類,13,Eriocraniidae,スイコバネガ科,,,,,,,Issikiocrania,,japonicella,,Moriuti,1982,,イッシキスイコバネ,,,,,,,"Issikiocrania japonicella Moriuti, 1982",ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0025,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,unimaculella,,(Zetterstedt),1839,,シロテンスイコバネ,シロテンスイコバネ（和名新称）,,,,,,"Eriocrania unimaculella (Zetterstedt, 1839)",シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0026,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,komaii,,"Mizukawa, Hirowatari & Hashimoto",2006,,ムラサキマダラスイコバネ,,,,,,,"Eriocrania komaii Mizukawa, Hirowatari & Hashimoto, 2006",ウラジロノキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0027,蛾類,11,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sparrmannella,,(Bosc),1791,,キンマダラスイコバネ,,,,,,,"Eriocrania sparrmannella (Bosc, 1791)",シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0028,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sakhalinella,,Kozlov,1983,,ハンノキスイコバネ,,,,,,,"Eriocrania sakhalinella Kozlov, 1983",ケヤマハンノキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ハンノキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,タニガワハンノキなどのハンノキ類,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0029,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,"sp. 2 of Hirowatari, 2013",,,,,ミズメスイコバネ,ミズメスイコバネ（和名新称）; オオダイスイコバネ; オオダイスイコバネ（和名新称）; キンオビスイコバネ; キンオビスイコバネ（和名新称）,,,,,,Eriocrania sp. 2,ミズメ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0030,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sangii,,(Wood),1891,,クロムラサキスイコバネ,クロムラサキスイコバネ（和名新称）,,,,,,"Eriocrania sangii (Wood, 1891)",シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0031,蛾類,10+12,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,semipurpurella,,(Stephens),1835,,オオスイコバネ,オオスイコバネ,キンイロスイコバネ,,,,,"Eriocrania semipurpurella (Stephens, 1835)",シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0032,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,carpinella,,"Mizukawa, Hirowatari & Hashimoto",2010,,アカシデスイコバネ,,,,,,,"Eriocrania carpinella Mizukawa, Hirowatari & Hashimoto, 2010",サワシバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,アカシデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,イヌシデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0033,蛾類,18,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,chishimana,,(Matsumura),1931,,チシマシロスジコウモリ,,,,,,,"Gazoryctra chishimana (Matsumura, 1931)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0034,蛾類,17,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,macilenta,,(Eversmann),1851,,オオギンスジコウモリ,,,,,,,"Gazoryctra macilenta (Eversmann, 1851)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0035,蛾類,19,Hepialidae,コウモリガ科,,,,,,,Palpifer,,sexnotatus,,(Moore),1879,,シロテンコウモリ,シロテンコウモリ,,,,,,"Palpifer sexnotatus (Moore, 1879)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0036,蛾類,16,Hepialidae,コウモリガ科,,,,,,,Pharmacis,,fusconebulosa,,(De Geer),1778,,キタコウモリ,キタコウモリ,,,,,,"Pharmacis fusconebulosa (De Geer, 1778)",イギリスではワラビ Pteridium aquilinum,ウラボシ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,根茎,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0037,蛾類,15,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,variabilis,,(Bremer),1861,,ヒメコウモリ,,,,,,,"Thitarodes variabilis (Bremer, 1861)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0038,蛾類,,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,nipponensis,,Ueda,1996,,ウスイロコウモリ,,,,,,,"Thitarodes nipponensis Ueda, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0039,蛾類,14,Hepialidae,コウモリガ科,,,,,,,Phymatopus,,japonicus,,Inoue,1982,,キンスジコウモリ,,標準図鑑：ギンスジコウモリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0040,蛾類,21,Hepialidae,コウモリガ科,,,,,,,Endoclita,,excrescens,,(Butler),1877,,コウモリガ,,,,,,,"Endoclita excrescens (Butler, 1877)",ヤナギ類ギンドロ,ヤナギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,キリ,ゴマノハグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,アカメガシワ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日本産蛾類標準図鑑3,,,,,,,,,,,,ListMJ_hostplants_master.csv,8-10月,
M0041,蛾類,20,Hepialidae,コウモリガ科,,,,,,,Endoclita,,sinensis,,(Moore),1877,,キマダラコウモリ,,,,,,,"Endoclita sinensis (Moore, 1877)",キリ,ゴマノハグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ジャガイモ,ナス科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,広食性,
M0042,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Enteucha,,sp. of Owada et al. 2006,,,,,ミズヒキモグリチビガ,,,,,非掲載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0043,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kurilensis,,Puplesis,1987,,クナシリモグリチビガ,,,,,,,"Stigmella kurilensis Puplesis, 1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0044,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,monella,,Puplesis,1984,,ウリカエデモグリチビガ,ウリカエデモグリチビガ（和名新称）,,,,,,"Stigmella monella Puplesis, 1984",イタヤカエデ,ムクロジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ウリカエデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ウリハダカエデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,ミネカエデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0045,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,orientalis,,Kemperman & Wilkinson,1985,,ヤクシマモグリチビガ,,,,,,,"Stigmella orientalis Kemperman & Wilkinson, 1985",ミヤマウリカエデ,ムクロジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0046,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,ultima,,Puplesis,1984,,イタヤモグリチビガ,,,,,,,"Stigmella ultima Puplesis, 1984",イロハモミジ,カエデ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,イタヤカエデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0047,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,nireae,,Kemperman & Wilkinson,1985,,ニレモグリチビガ,ニレモグリチビガ（和名新称）,,,,,,"Stigmella nireae Kemperman & Wilkinson, 1985",ハルニレ,ニレ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0048,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,palionisi,,Puplesis,1984,,ナカムラモグリチビガ,ナカムラモグリチビガ（和名新称）,,,,出版後の追加,名前変更,"Stigmella nakamurai Kemperman & Wilkinson, 1985",ハルニレ,ニレ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0049,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,morivora,,Hirano,2010,,ヤマグワモグリチビガ,,,,,,,"Stigmella morivora Hirano, 2010",ヤマグワ,クワ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0050,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,naturnella,,(Klimesch),1936,,ホソオビモグリチビガ,ホソオビモグリチビガ（和名新称）,,,,,,"Stigmella naturnella (Klimesch, 1936)",オノオレカンパ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,シラカンパ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0051,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sashai,,Puplesis,1984,,シナノキモグリチビガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0052,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,betulicola,,(Stainton),1856,,シラカバモグリチビガ,,,,,,,"Stigmella betulicola (Stainton, 1856)",ダケカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,シラカンパ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv, 国外では各種の Betula 属の葉（カバノキ科）,
