大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,出典,備考,成虫出現時期,成虫出現時期出典,成虫出現時期備考,幼虫期,幼虫期に関する備考
10001,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,フナガタタマムシ族,,,,Acmaeodera,,luzonica,,Nonfried,1895,,キボシフナガタタマムシ,,,,,,,"Acmaeodera (Cobosiella) luzonica Nonfried, 1895",アデク、ハマボウ,日本産タマムシ大図鑑,成虫はハマボウの花弁を後食する。アデクから羽化脱出した記録あり。,不明,,,,
10002,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツツタマムシ族,,,,Prosima,,chinensis,,Marseul,1867,,モンキタマムシ,,,,,,,"Prosima chinensis Marseul, 1867",モモ,日本産タマムシ大図鑑,成虫はモモなどを後食する。本来の分布は中国大陸で、人為的に分布が拡大した外来種の可能性が推察される。,5~6月,,,,
10003,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ケシツブタマムシ族,,,,Mastogenius,,insperatus,,Y. Kurosawa,1972,,ケシツブタマムシ,,,,,,,"Mastogenius insperatus Y. Kurosawa, 1972",シバニッケイ、マルバニッケイ,日本産タマムシ大図鑑,沖縄島ではマルバニッケイの枯れ枝から羽化。,4月上旬~6月上旬,,,,
10004,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツブタマムシ族,,,,Paratrachys,,hederae,,E. Saunders,1873,,ミスジツブタマムシ,,,,,,,"Paratrachys hederae E. Saunders, 1873",オオイタビ、イタビカズラ,日本産タマムシ大図鑑,幼虫はクワ科イチジク属植物の潜葉虫として葉裏に潜り込み、内部組織を食害する。,3~6月,,,,
10005,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツブタマムシ族,,,,Paratrachys,,mixtipubescens,,Y. Kurosawa,1985,,ダイトウツブタマムシ,,,,,,,"Paratrachys mixtipubescens Y. Kurosawa, 1985",オオイタビ,日本産タマムシ大図鑑,北大東島の固有種。オオイタビの葉より成虫を羽化脱出させた記録あり。,3~6月頃 (秋期に発生している可能性もあり),,,,
10006,Buprestidae,タマムシ科,Polycestinae,ツツタマムシ亜科,ツブタマムシ族,,,,Paratrachys,,princeps,,Y. Kurosawa,1976,,オオシマツブタマムシ,,,,,,,"Paratrachys princeps Y. Kurosawa, 1976",オオイタビ、イタビカズラ、ヒメイタビ,日本産タマムシ大図鑑,幼虫はイチジク属植物の潜葉虫。,3~6月,,,,
10007,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysochroa,,fulgidissima,,(Schönherr),1817,,タマムシ,,,,,,,"Chrysochroa fulgidissima (Schönherr, 1817)",エノキ、リュウキュウエノキ、ケヤキ、サクラ類、カシ類、カキ、クワ、ハリエンジュ (ニセアカシア),日本産タマムシ大図鑑,成虫はエノキ、ケヤキ、サクラ類などの太めの枯れ枝に集まる。,6~8月,,,,
10008,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysochroa,,holstii,,Waterhouse,1890,,オガサワラタマムシ,,,,,,,"Chrysochroa holstii Waterhouse, 1890",ムニンエノキ、ヤシマシャリンバイ,日本産タマムシ大図鑑,成虫はムニンエノキに集まる。,6~8月,,,,
10009,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,ルリタマムシ族,,,,Chrysodema,,dalmanni,,(Eschscholtz),1837,,アオムネスジタマムシ,,,,,,,"Chrysodema dalmanni (Eschscholtz, 1837)",モモタマナ,日本産タマムシ大図鑑,成虫はマテバシイ、ウバメガシ、スダジイ、ホルトノキ、カシ類などに集まる。,5~8月,,,,
10010,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chrysodema,,lewisii,,,,,アヤムネスジタマムシ,,,,,,,Chrysodema lewisii,スダジイ、マテバシイ、ウバメガシ、カシ類,日本産タマムシ大図鑑,,,,,,
10011,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Tamamushia,,virida,,,,,ツマベニタマムシ,,,,,,,Tamamushia virida,シマシャリンバイ,日本産タマムシ大図鑑,,,,,,
10012,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chalcophora,,japonica,,,,,ウバタマムシ,,,,,,,Chalcophora japonica,アカマツ、クロマツ、リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10013,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Chalcophora,,yunnana,,,,,サツマウバタマムシ,,,,,,,Chalcophora yunnana,アカマツ、クロマツ、リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10014,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Nipponobuprestis,,amabilis,,,,,アオマダラタマムシ,,,,,,,Nipponobuprestis amabilis,アオハダ、クロガネモチ、ソヨゴ、ソメイヨシノ、ツゲ,日本産タマムシ大図鑑,,,,,,
10015,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Nipponobuprestis,,querceti,,,,,クロマダラタマムシ,,,,,,,Nipponobuprestis querceti,エノキ,日本産タマムシ大図鑑,,,,,,
10016,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,virgata,,,,,クロホシタマムシ,,,,,,,Lamprodila virgata,ミズナラ,日本産タマムシ大図鑑,,,,,,
10017,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,davidis,,,,,キュウシュウクロホシタマムシ,,,,,,,Lamprodila davidis,不明,日本産タマムシ大図鑑,,,,,,
10018,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,vivata,,,,,マスダクロホシタマムシ,,,,,,,Lamprodila vivata,ヒノキ、スギ、ネズ,日本産タマムシ大図鑑,,,,,,
10019,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,pretiosa,,,,,キンヘリタマムシ,,,,,,,Lamprodila pretiosa,ハルニレ,日本産タマムシ大図鑑,,,,,,
10020,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,nipponensis,,,,,ハビロキンヘリタマムシ,,,,,,,Lamprodila nipponensis,ハルニレ,日本産タマムシ大図鑑,,,,,,
10021,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Lamprodila,,decipiens,,,,,エサキキンヘリタマムシ,,,,,,,Lamprodila decipiens,ヤマハンノキ、ミヤマハンノキ、ミネヤナギ、ネコヤナギ,日本産タマムシ大図鑑,,,,,,
10022,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Poecilonota,,variolusa,,,,,クロコモンタマムシ,,,,,,,Poecilonota variolusa,ドロノキ、ヤマナラシ,日本産タマムシ大図鑑,,,,,,
10023,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Dicerca,,furcata,,,,,フタオタマムシ,,,,,,,Dicerca furcata,ダケカンバ、シラカンバ,日本産タマムシ大図鑑,,,,,,
10024,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Dicerca,,tibialis,,,,,トゲフタオタマムシ,,,,,,,Dicerca tibialis,モミ、ヒノキ、ツガ,日本産タマムシ大図鑑,,,,,,
10025,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Tokaranodicerca,,nishidai,,,,,キンモンフタオタマムシ,,,,,,,Tokaranodicerca nishidai,不明,日本産タマムシ大図鑑,,,,,,
10026,Buprestidae,タマムシ科,Buprestinae,クロタマムシ亜科,,,,,Tokaranodicerca,,shimonoi,,,,,アマミキンモンフタオタマムシ,,,,,,,Tokaranodicerca shimonoi,不明,日本産タマムシ大図鑑,,,,,,
10027,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Buprestis,,esakii,,,,,エサキクロタマムシ,,,,,,,Buprestis esakii,リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10028,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Buprestis,,haemorrhoidalis,,,,,クロタマムシ,,,,,,,Buprestis haemorrhoidalis,リュウキュウマツ、アカマツ、モミ,日本産タマムシ大図鑑,,,,,,
10029,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Buprestis,,splendens,,,,,アカヘリミドリタマムシ,,,,,,,Buprestis splendens,アカマツ、ヒメコマツ,日本産タマムシ大図鑑,,,,,,
10030,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Eurythyrea,,coa,,,,,エゾアオタマムシ,,,,,,,Eurythyrea coa,ドロノキ,日本産タマムシ大図鑑,,,,,,
10031,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Eurythyrea,,tenuistriata,,,,,アオタマムシ,,,,,,,Eurythyrea tenuistriata,モミ、マツ類,日本産タマムシ大図鑑,,,,,,
10032,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Melanophila,,obscurata,,,,,ツメアカナガヒラタタマムシ,,,,,,,Melanophila obscurata,マツ類、カラマツ、モミ、トドマツ,日本産タマムシ大図鑑,,,,,,
10033,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Philanthaxia,,iriei,,,,,イリエヒメマルタマムシ,,,,,,,Philanthaxia iriei,ヤエヤマコクタン,日本産タマムシ大図鑑,,,,,,
10034,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Kurosawaia,,yanoi,,,,,ツヤヒメマルタマムシ,,,,,,,Kurosawaia yanoi,アデク、ムニンエノキ、アカテツ,日本産タマムシ大図鑑,,,,,,
10035,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,reticulata,,,,,クロヒメヒラタタマムシ,,,,,,,Anthaxia reticulata,トドマツ,日本産タマムシ大図鑑,,,,,,
10036,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,rubromarginata,,,,,フチトリヒメヒラタタマムシ,,,,,,,Anthaxia rubromarginata,コナラ、クヌギ、アベマキ、クリ,日本産タマムシ大図鑑,,,,,,
10037,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,proteus,,,,,ヒメヒラタタマムシ,,,,,,,Anthaxia proteus,アカマツ,日本産タマムシ大図鑑,,,,,,
10038,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,arakii,,,,,アマミヒメヒラタタマムシ,,,,,,,Anthaxia arakii,リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10039,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,ihanatsumi,,,,,オキナワヒメヒラタタマムシ,,,,,,,Anthaxia ihanatsumi,リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10040,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Anthaxia,,moya,,,,,ヤエヤマヒメヒラタタマムシ,,,,,,,Anthaxia moya,リュウキュウマツ,日本産タマムシ大図鑑,,,,,,
10041,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Chrysobothris,,succedanea,,,,,ムツボシタマムシ,,,,,,,Chrysobothris succedanea,カシ類、クリ、イヌシデ、ウメ、ソメイヨシノ、ビワ、モミ、ヒマラヤスギ,日本産タマムシ大図鑑,,,,,,
10042,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Chrysobothris,,amurensis,,,,,アムールムツボシタマムシ,,,,,,,Chrysobothris amurensis,コハウチワカエデ、ダケカンバ,日本産タマムシ大図鑑,,,,,,
10043,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Chrysobothris,,pulchripes,,,,,チョウセンムツボシタマムシ,,,,,,,Chrysobothris pulchripes,マツ類,日本産タマムシ大図鑑,,,,,,
10044,Buprestidae,タマムシ科,Chrysochroinae,ルリタマムシ亜科,,,,,Chrysobothris,,igai,,,,,ヤマムツボシタマムシ,,,,,,,Chrysobothris igai,モミ、アカマツ,日本産タマムシ大図鑑,,,,,,
