record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
61,species-0058,チヂミザサ,イネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
62,species-0059,ヤマハンノキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
63,species-0059,ケヤマハンノキ,以上カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
64,species-0060,クロツバラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
65,species-0060,クロウメモドキ,以上クロウメモドキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
66,species-0061,コアカソ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
67,species-0061,カラムシ,以上イラクサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
68,species-0062,コゴメヤナギ,ヤナギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
69,species-0064,セイヨウハコヤナギ（ポプラ）（ヤナギ科）,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
70,species-0065,ネコヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
71,species-0065,バッコヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
72,species-0065,シバヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
73,species-0066,ズミ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
74,species-0067,クサボケ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
75,species-0068,リンゴ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
76,species-0069,ウラジロノキ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
77,species-0070,ズミ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
78,species-0071,エゴノキ,エゴノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
79,species-0073,ヤマツツジ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
80,species-0073,ツツジ属の一種,ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
81,species-0075,モミジイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
82,species-0075,フユイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
83,species-0075,エビガライチゴ,以上バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
84,species-0076,フユイチゴ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
85,species-0077,モミジイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
86,species-0077,クサイチゴ,以上バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
87,species-0081,オヒョウ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
88,species-0081,ハルニレ,以上ニレ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
89,species-0082,ケヤキ,ニレ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
